"Scope_short";"account_id";"company_name";"incorporation_country";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Base year";"% reduction from base year";"Target year";"BY_EM_target";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Target coverage";"Year target was set";"Is this a science-based target?";"% of target achieved [auto-calculated]";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"S2M";31831;"Bausch Health Cos. Inc.";"United States of America";"Global";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2010;10;2025;1267968;807330;NA;2019;NA;NA;NA;1;75;"Scope 2 (market-based)";251195;734529;NA;251195;734529;NA;"31831-abs-S2M-2010-2025-1";NA;2012;"No, but we anticipate setting one in the next 2 years";NA;"Scope 2";"";"S2M";"absolute";1267968;1267968;0;NA;0;1;1141171.2;1191889.92;1191889.92
"S12M";33628;"BECK GROUP - HC BECK";"United States of America";"Global";"Construction";"Infrastructure";"Non-residential building construction";2010;100;2030;1966.23;NA;NA;2019;7383.23;NA;NA;1;100;"Scope 1+2 (market-based)";3474.22;4104.42;3909.01;3474.22;4104.42;3909.01;"33628-abs-S12M-2010-2030-1";NA;2010;"No, but we anticipate setting one in the next 2 years";-275.501848715562;"Scope 1+2";"S1";"S2M";"absolute";1966.23;1966.23;3474.22;3909.01;0.470555569852219;1;0;1081.4265;7383.23
"S1";33677;"DG3 NORTH AMERICA INC";"United States of America";"Global";"Print & publishing services";"Services";"Printing services";2013;2;2020;6035;4978.51;NA;2019;970.635;NA;NA;1;100;"Scope 1";NA;NA;NA;NA;NA;NA;"33677-abs-S1-2013-2020-1";NA;2013;"Yes, this target has been approved as science-based by the Science-Based Targets initiative";0;"Scope 1";"S1";"";"absolute";6035;6035;NA;0;1;1;5914.3;5931.54285714286;970.635
"S12L";35814;"Inscape Corporation";"Canada";"Global";"Leisure & home manufacturing";"Manufacturing";"Furniture";2015;10;2025;3974;3973;NA;2019;3471;NA;NA;1;100;"Scope 1+2 (location-based)";3094;518;NA;3094;518;NA;"35814-abs-S12L-2015-2025-1";NA;2016;"No, and we do not anticipate setting one in the next 2 years";126.824358329139;"Scope 1+2";"S1";"S2L";"absolute";3974;3974;3094;518;0.856589147286822;1;3576.6;3815.04;3471
"S12M";36595;"Bankia";"Spain";"Global";"Financial services";"Services";"Banks";2018;12;2023;6782.7;6782.7;NA;2019;3527.8;NA;NA;1;100;"Scope 1+2 (market-based)";NA;NA;NA;NA;NA;NA;"36595-abs-S12M-2018-2023-1";NA;2018;"No, but we anticipate setting one in the next 2 years";399.90220217121;"Scope 1+2";"S1";"S2M";"absolute";6782.7;6782.7;NA;NA;1;1;5968.776;6619.9152;3527.8
"S12M";36595;"Bankia";"Spain";"Global";"Financial services";"Services";"Banks";2018;35;2033;6782.7;6782.7;NA;2019;3527.8;NA;NA;1;100;"Scope 1+2 (market-based)";NA;NA;NA;NA;NA;NA;"36595-abs-S12M-2018-2033-1";NA;2018;"No, but we anticipate setting one in the next 2 years";137.109326458701;"Scope 1+2";"S1";"S2M";"absolute";6782.7;6782.7;NA;NA;1;1;4408.755;6624.437;3527.8
"S1";37764;"Trans-Expedite Inc.";"United States of America";"Global";"Intermodal transport & logistics";"Transportation services";"Logistics - transport";2012;20;2025;6845;6845;NA;2019;3218.95;NA;NA;1;100;"Scope 1";NA;NA;NA;NA;NA;NA;"37764-abs-S1-2012-2025-1";NA;2012;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";264.868517165814;"Scope 1";"S1";"";"absolute";6845;6845;NA;0;1;1;5476;6107.84615384615;3218.95
"S12L";38092;"Bright International Corp.";"United States of America";"Global";"Chemicals";"Materials";"Personal care & household products";2014;36.3;2025;1041;1041;NA;2019;1046;NA;NA;1;100;"Scope 1+2 (location-based)";122;924;NA;122;924;NA;"38092-abs-S12L-2014-2025-1";NA;2014;"Yes, this target has been approved as science-based by the Science-Based Targets initiative";-1.32316087254521;"Scope 1+2";"S1";"S2L";"absolute";1041;1041;122;924;0.116634799235182;1;663.117;869.235;1046
"S2L";38102;"GRONINGER";"Germany";"Global";"Powered machinery";"Manufacturing";"Industrial machinery";2018;10;2023;373;NA;NA;2019;51;NA;NA;1;100;"Scope 2 (location-based)";NA;NA;NA;NA;NA;NA;"38102-abs-S2L-2018-2023-1";NA;2014;"No, and we do not anticipate setting one in the next 2 years";29.4906166219839;"Scope 2";"";"S2L";"absolute";373;373;0;NA;0;1;335.7;365.54;51
"S1";39408;"Moody Dunbar Inc";"United States of America";"Global";"Food & beverage processing";"Food, beverage & agriculture";"Fruit, nut & vegetable processing";2015;15;2025;9690;NA;NA;2019;NA;NA;NA;1;25;"Scope 1";NA;NA;NA;NA;NA;NA;"39408-abs-S1-2015-2025-1";NA;2014;"Yes, this target has been approved as science-based by the Science-Based Targets initiative";37.1517027863777;"Scope 1";"S1";"";"absolute";9690;9690;NA;0;1;1;8236.5;9108.6;9108.6
"S2M";40872;"ROLLS WOOD GROUP";"United Kingdom of Great Britain and Northern Ireland";"Global";"Powered machinery";"Manufacturing";"Industrial machinery";2016;10;2022;5940;NA;NA;2019;NA;NA;NA;1;100;"Scope 2 (market-based)";NA;NA;NA;NA;NA;NA;"40872-abs-S2M-2016-2022-1";NA;2017;"No, and we do not anticipate setting one in the next 2 years";23.2323232323232;"Scope 2";"";"S2M";"absolute";5940;5940;0;NA;0;1;5346;5643;5643
"S12L";41519;"ModusLink Corporation";"United States of America";"Global";"Intermodal transport & logistics";"Transportation services";"Logistics - 3rd party";2017;5;2021;9148;9149;NA;2019;7332;NA;NA;1;100;"Scope 1+2 (location-based)";906;10591;NA;906;10591;NA;"41519-abs-S12L-2017-2021-1";NA;2018;"No, and we do not anticipate setting one in the next 2 years";396.808045474421;"Scope 1+2";"S1";"S2L";"absolute";9148;9148;906;10591;0.0788031660433157;1;8690.6;8919.3;7332
"S2M";41714;"An Post";"Ireland";"Global";"Commercial & consumer services";"Services";"Commercial services";2009;33;2020;12971;12971;NA;2019;0;NA;NA;1;100;"Scope 2 (market-based)";25400;4813;0;25400;4813;0;"41714-abs-S2M-2009-2020-1";NA;2009;"No, but we are reporting another target that is science-based";300.694089145249;"Scope 2";"";"S2M";"absolute";12971;12971;0;0;0;1;8690.57;9079.7;9079.7
