"company_name";"incorporation_country";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Base year";"% reduction from base year";"Target year";"Base year emissions covered by target (metric tons CO2e)";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Scope_short";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"Remgro";"South Africa";"South Africa";"Food & beverage processing";"Food, beverage & agriculture";"Animal processing";2015;15;2020;397230.26;431682.34;NA;2017;387782.46;NA;59584.539;1;100;"Scope 2 (location-based)";434343.06;387782.46;387782.46;434343.06;387782.46;387782.46;"15653-abs-S2L-2015-2020-1";"S2L";"Scope 2";"";"S2L";"absolute";397230.26;397230.26;0;387782.46;0;1;337645.721;373396.4444;387782.46
"Sasol Limited";"South Africa";"South Africa";"Chemicals";"Manufacturing";"Other base chemicals";2014;0;2020;57954000;61774240;NA;2017;57281000;NA;0;0.936328217069121;90;"Scope 1";57840964;8258004;8258004;61774240;8727000;8727000;"16366-abs-S1-2014-2020-1";"S1";"Scope 1";"S1";"";"absolute";54263965.4920238;54263965.4920238;57840964;0;1;1;54263965.4920238;54263965.4920238;53633816.6019363
"SNC-Lavalin Group Inc.";"Canada";"South Africa";"Construction";"Infrastructure";"Non-residential building construction";2016;10;2017;7962.7;62527.75;NA;2017;76555.4;NA;54.5768033424075;0.068540574607115;14.11;"Scope 1+2 (location-based)";3472.56;803.67;803.67;52970.55;9419.21;9419.21;"17166-abs-S12L-2016-2017-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";545.768033424075;545.768033424075;3472.56;803.67;0.812061091194814;1;491.191230081668;491.191230081668;5247.15110527753
"Standard Bank Group";"South Africa";"South Africa";"Financial services";"Services";"Banks";2014;22;2020;283314;283814;NA;2017;220408;NA;62329.08;1;100;"Scope 2 (location-based)";11218;220408;220408;11218;220408;220408;"17637-abs-S2L-2014-2020-1";"S2L";"Scope 2";"";"S2L";"absolute";283314;283314;0;220408;0;1;220984.92;252149.46;220408
"Standard Bank Group";"South Africa";"South Africa";"Financial services";"Services";"Banks";2014;52;2020;5494;7661;NA;2017;2664;NA;NA;NA;9;"Scope 3: Purchased goods & services";11218;220408;220408;11218;220408;220408;"17637-abs-S3-2014-2020-1";"S3";"Scope 3";"";"";"absolute";NA;NA;0;0;0;1;NA;NA;NA
"Sumitomo Electric Industries, Ltd.";"Japan";"South Africa";"Electrical & electronic equipment";"Manufacturing";"Electrical equipment";2012;0;2017;1469000;1268500;NA;2017;1496545;NA;0;0.000181751968701242;99;"Scope 1+2 (location-based)";0;272;272;193937;1302608;1302608;"17884-abs-S12L-2012-2017-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";266.993642022125;266.993642022125;0;272;0;1;266.993642022125;266.993642022125;272
"Sumitomo Mitsui Financial Group";"Japan";"South Africa";"Financial services";"Services";"Banks";2009;19;2030;8198;NA;NA;2018;163409.17;NA;NA;NA;70;"Scope 2 (location-based)";1.6;0;0;15671.14;0;0;"17899-abs-S2L-2009-2030-1";"S2L";"Scope 2";"";"S2L";"absolute";NA;NA;0;0;0;1;NA;NA;NA
"Symantec Corporation";"United States of America";"South Africa";"IT & software development";"Services";"Software";2015;30;2025;129135;129135;NA;2018;87509;NA;NA;0.0075159351116213;100;"Scope 1 +2 (market-based)";11;1233;1233;10103;155412;155412;"18125-abs-S12M-2015-2025-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";970.570280639217;970.570280639217;11;1233;0.00884244372990354;1;679.399196447452;883.218955381687;657.711965682869
"Symantec Corporation";"United States of America";"South Africa";"IT & software development";"Services";"Software";2015;54;2033;129135;129135;NA;2018;87509;NA;NA;0.0075159351116213;100;"Scope 1 +2 (market-based)";11;1233;1233;10103;155412;155412;"18125-abs-S12M-2015-2033-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";970.570280639217;970.570280639217;11;1233;0.00884244372990354;1;446.46232909404;883.218955381687;657.711965682869
"Symrise AG";"Germany";"South Africa";"Chemicals";"Manufacturing";"Specialty chemicals";2016;1.23;2030;325490;325310;NA;2017;320435;NA;10.4853985552242;0.00261904030002152;100;"Scope 1 +2 (market-based)";205;647;647;194358;121274;130952;"18135-abs-S12M-2016-2030-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";852.471427254005;852.471427254;205;647;0.240610328638498;1;841.986028698776;851.722470214341;839.232178537396
"Terex Corporation";"United States of America";"South Africa";"Powered machinery";"Manufacturing";"Agriculture, construction & mining machinery";2016;10;2017;40986;161277;NA;2017;92899;NA;44.8292713778158;0.0109377034543053;25;"Scope 1+2 (location-based)";685;1079;1079;74260;87017;97443;"18573-abs-S12L-2016-2017-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";448.292713778157;448.292713778158;685;1079;0.388321995464853;1;403.463442400342;403.463442400342;1016.10171320151
"The Spar Group Ltd";"South Africa";"South Africa";"Convenience retail";"Retail";"Supermarkets, food & drugstores";2016;2;2050;48632;82984;NA;2017;81577;NA;972.64;1;59;"Scope 1+2 (location-based)";36557;45020;45020;36557;45020;45020;"18949-abs-S12L-2016-2050-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";48632;48632;36557;45020;0.448128761783346;1;47659.36;48603.3929411765;81577
"The Spar Group Ltd";"South Africa";"South Africa";"Convenience retail";"Retail";"Supermarkets, food & drugstores";2016;2;2050;34351;82984;NA;2017;81577;NA;687.02;1;41;"Scope 1+2 (location-based)";36557;45020;45020;36557;45020;45020;"18949-abs-S12L-2016-2050-2";"S12L";"Scope 1+2";"S1";"S2L";"absolute";34351;34351;36557;45020;0.448128761783346;1;33663.98;34330.7935294118;81577
"Tongaat Hulett Ltd";"South Africa";"South Africa";"Food & beverage processing";"Food, beverage & agriculture";"Sugar";2013;10;2020;885976;885976;NA;2018;798174;NA;73856.5304146715;0.833617732474373;100;"Scope 1";665372;232122;232122;798174;270183;270183;"19207-abs-S1-2013-2020-1";"S1";"Scope 1";"S1";"";"absolute";738565.304146715;738565.304146715;665372;0;1;1;664708.773732044;685810.639564807;665372
"Tongaat Hulett Ltd";"South Africa";"South Africa";"Food & beverage processing";"Food, beverage & agriculture";"Sugar";2013;28;2020;360254;360258;NA;2018;270183;NA;86661.2855606755;0.859128812693619;100;"Scope 2 (location-based)";665372;232122;232122;798174;270183;270183;"19207-abs-S2L-2013-2020-1";"S2L";"Scope 2";"";"S2L";"absolute";309504.591288127;309504.591288127;0;232122;0;1;222843.305727451;247603.673030501;232122
"Unilever plc";"United Kingdom of Great Britain and Northern Ireland";"South Africa";"Chemicals";"Manufacturing";"Personal care & household products";2015;100;2030;1858924;1858924;NA;2017;1693385;NA;140360;0.0755060454327342;100;"Scope 1 +2 (market-based)";64127;76233;76233;873507;1530669;985417;"19829-abs-S12M-2015-2030-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";140360;140360;64127;76233;0.456875178113423;1;0;121645.333333333;127860.804745111
"Unilever plc";"United Kingdom of Great Britain and Northern Ireland";"South Africa";"Chemicals";"Manufacturing";"Personal care & household products";2015;100;2040;1858924;1858924;NA;2017;1693385;NA;140360;0.0755060454327342;100;"Scope 1 +2 (market-based)";64127;76233;76233;873507;1530669;985417;"19829-abs-S12M-2015-2040-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";140360;140360;64127;76233;0.456875178113423;1;0;129131.2;127860.804745111
"Voestalpine AG";"Austria";"South Africa";"Metal smelting, refining & forming";"Materials";"Iron & steel";1990;5;2035;11000000;NA;NA;2017;15141989;NA;119.342112101896;0.000216985658367084;100;"Scope 1 +2 (market-based)";627;2262;2262;12484583;1056200;829661;"20301-abs-S12M-1990-2035-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";2386.84224203792;2386.84224203792;627;2262;0.217030114226376;1;2267.50012993602;2315.23697477678;3285.59445215214
"Voestalpine AG";"Austria";"South Africa";"Metal smelting, refining & forming";"Materials";"Iron & steel";1990;80;2050;11000000;NA;NA;2017;15141989;NA;1909.47379363034;0.000216985658367084;100;"Scope 1 +2 (market-based)";627;2262;2262;12484583;1056200;829661;"20301-abs-S12M-1990-2050-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";2386.84224203792;2386.84224203793;627;2262;0.217030114226376;1;477.368448407585;1527.57903490427;3285.59445215214
