"Scope_short";"account_id";"company_name";"incorporation_country";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Base year";"% reduction from base year";"Target year";"BY_EM_target";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Target coverage";"Year target was set";"Is this a science-based target?";"% of target achieved [auto-calculated]";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"S12L";12392;"Morgan Sindall Group plc";"United Kingdom of Great Britain and Northern Ireland";"United Kingdom";"Construction";"Infrastructure";"Building sub-contractors";2016;11;2025;24135;24135;NA;2019;20902.27;NA;NA;1;100;"Scope 1+2 (location-based)";NA;9168;NA;25244;9168;NA;"12392-abs-S12L-2016-2025-1";"Company-wide";2017;"Yes, this target has been approved as science-based by the Science-Based Targets initiative";121.76695481854;"Scope 1+2";"S1";"S2L";"absolute";24135;24135;NA;9168;0.4;1;21480.15;23250.05;20902.27
"S12L";12392;"Morgan Sindall Group plc";"United Kingdom of Great Britain and Northern Ireland";"United Kingdom";"Construction";"Infrastructure";"Building sub-contractors";2016;56;2050;24135;24135;NA;2019;20902.27;NA;NA;1;100;"Scope 1+2 (location-based)";NA;9168;NA;25244;9168;NA;"12392-abs-S12L-2016-2050-1";"Company-wide";2017;"Yes, this target has been approved as science-based by the Science-Based Targets initiative";23.9185089822131;"Scope 1+2";"S1";"S2L";"absolute";24135;24135;NA;9168;0.4;1;10619.4;22942.4470588235;20902.27
"S12L3";13627;"Nykredit";"Denmark";"Denmark";"Financial services";"Services";"Banks";2012;65;2020;10821;NA;8439;2019;2686.2;1260;3299.23274514184;1;100;"Scope 1+2 (location-based) +3 (upstream & downstream)";NA;NA;NA;NA;NA;NA;"13627-abs-S12L3-2012-2020-1";"Company-wide";2012;"No, but we anticipate setting one in the next 2 years";122.312028605347;"Scope 1+2+3";"S1";"S2L";"absolute";10821;5075.7426848336;NA;NA;0.4;0.469064105427742;1776.50993969176;2188.91403283449;1260
"S13";14678;"PG&E Corporation";"United States of America";"United States of America";"Energy utility networks";"Infrastructure";"Electricity networks";1990;0;2020;0;NA;NA;2019;NA;NA;0;1;NA;"Other, please specify: Scope 1 + 3 (downstream)";4495574;2930616;27596;4495574;2930616;27596;"14678-abs-S13-1990-2020-1";"Company-wide";2013;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";NA;"Scope 1+3";"S1";"";"absolute";NA;0;4495574;0;1;1;NA;NA;0
"S12L";14830;"PNC Financial Services Group, Inc.";"United States of America";"United States of America";"Financial services";"Services";"Banks";2009;30;2020;480206;480205;NA;2019;212218;NA;144061.8;1;100;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"14830-abs-S12L-2009-2020-1";"Company-wide";2010;"No, but we anticipate setting one in the next 2 years";186.00003609562;"Scope 1+2";"S1";"S2L";"absolute";480206;480206;NA;NA;0.4;1;336144.2;349240.727272727;212218
"S12L";14830;"PNC Financial Services Group, Inc.";"United States of America";"United States of America";"Financial services";"Services";"Banks";2009;75;2035;480206;480205;NA;2019;212218;NA;360154.5;1;100;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"14830-abs-S12L-2009-2035-1";"Company-wide";2017;"No, but we anticipate setting one in the next 2 years";74.400014438248;"Scope 1+2";"S1";"S2L";"absolute";480206;480206;NA;NA;0.4;1;120051.5;341685.038461538;212218
"S12L";15097;"Principal Financial Group, Inc.";"United States of America";"United States of America";"Financial services";"Services";"Insurance";2010;30;2020;66922;66922;NA;2019;40620;NA;20076.6;1;100;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"15097-abs-S12L-2010-2020-1";"Country/region";2012;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";131.008238446749;"Scope 1+2";"S1";"S2L";"absolute";66922;66922;NA;NA;0.4;1;46845.4;48853.06;40620
"S12L";15297;"PTT";"Thailand";"Thailand";"Oil & gas retailing";"Fossil Fuels";"Oil & gas marketing & retailing";2012;20;2030;33705415;33705415;NA;2019;30216400;NA;NA;1;100;"Scope 1+2 (location-based)";NA;1800870;NA;31115981;1800870;NA;"15297-abs-S12L-2012-2030-1";"Site/facility";2012;"No, but we are reporting another target that is science-based";33.1794757607939;"Scope 1+2";"S1";"S2L";"absolute";33705415;33705415;NA;1800870;0.4;1;26964332;31083882.7222222;30216400
"S12L";15623;"Regions Financial Corporation";"United States of America";"United States of America";"Financial services";"Services";"Banks";2015;30;2023;136039;136039;NA;2019;98353;NA;40811.7;1;100;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"15623-abs-S12L-2015-2023-1";"Company-wide";2018;"No, but we anticipate setting one in the next 2 years";92.3411668712649;"Scope 1+2";"S1";"S2L";"absolute";136039;136039;NA;NA;0.4;1;95227.3;115633.15;98353
"S12M";15693;"Resona Holdings, Inc.";"Japan";"Japan";"Financial services";"Services";"Banks";2013;26;2030;92991;NA;NA;2020;66266;NA;24177.66;1;100;"Scope 1+2 (market-based)";NA;NA;NA;NA;NA;NA;"15693-abs-S12M-2013-2030-1";"Company-wide";2018;"No, but we anticipate setting one in the next 2 years";110.535924485662;"Scope 1+2";"S1";"S2M";"absolute";92991;92991;NA;NA;0.4;1;68813.34;83035.4929411765;66266
"S12L";16168;"Samsung Heavy Industries Co Ltd";"Republic of Korea";"South Korea";"Transportation equipment";"Manufacturing";"Shipbuilding";2009;10;2020;452710;468663;NA;2019;326919;NA;45271;1;100;"Scope 1+2 (location-based)";231561;234981;NA;231561;234981;NA;"16168-abs-S12L-2009-2020-1";NA;2015;"No, and we do not anticipate setting one in the next 2 years";NA;"Scope 1+2";"S1";"S2L";"absolute";452710;452710;231561;234981;0.496334735136386;1;407439;411554.545454545;326919
"S12L";17832;"STRATEC SE";"Germany";"Germany";"Medical equipment & supplies";"Biotech, health care & pharma";"Medical equipment";2019;30;2030;2148.6;2148.6;NA;2019;2148.6;NA;NA;1;100;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"17832-abs-S12L-2019-2030-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";0;"Scope 1+2";"S1";"S2L";"absolute";2148.6;2148.6;NA;NA;0.4;1;1504.02;2148.6;2148.6
