"account_id";"company_name";"primary_industry";"Scope";"% emissions in Scope";"BY_covered";"BY_Scope_exclS3";"BY_Scope";"MRY_Scope";"MRY_Scope_exclS3";"MRY_Covered";"% reduction from base year";"Target year";"Target status";"Target coverage";"MRY_inventory";"MRY_target";"TargetActive";"Quantifiable";"Scope1_2";"Full_coverage";"Include"
722;"AmorePacific Corporation";"Materials";"Scope 1+2 (location-based)";100;52326;NA;45003;45003;NA;52326;100;2030;"New";"Company-wide";45003;52326;TRUE;TRUE;TRUE;TRUE;TRUE
724;"AMP";"Services";"Scope 1+2 (location-based)";100;8214;NA;7760;6762;NA;6401;42;2030;"Underway";"Company-wide";6762;6401;TRUE;TRUE;TRUE;TRUE;TRUE
727;"Precinct Properties New Zealand";"Services";"Scope 1+2 (location-based) +3 (upstream)";100;4306;4296.72;NA;9860.45;3334.91;3913;60;2030;"Underway";"Company-wide";3334.91;3913;TRUE;TRUE;TRUE;TRUE;TRUE
727;"Precinct Properties New Zealand";"Services";"Scope 1+2 (location-based) +3 (upstream)";100;4306;4296.72;NA;9860.45;3334.91;3913;100;2050;"Underway";"Company-wide";3334.91;3913;TRUE;TRUE;TRUE;TRUE;TRUE
746;"Analog Devices, Inc.";"Manufacturing";"Scope 1+2 (market-based)";100;160393;NA;160393;158535;NA;158535;50;2030;"Underway";"Company-wide";158535;158535;TRUE;TRUE;TRUE;TRUE;TRUE
769;"Anglian Water";"Infrastructure";"Scope 1+2 (location-based) +3 (upstream & downstream)";100;455335;413182;NA;2527513.62;268833.691;298576;7;2020;"Achieved";"Company-wide";268833.691;298576;FALSE;TRUE;TRUE;TRUE;FALSE
769;"Anglian Water";"Infrastructure";"Scope 1+2 (market-based) +3 (upstream & downstream)";100;356350;333119.838;390647.838;2621191.115;362511.186;386421.5;100;2030;"Underway";"Company-wide";362511.186;386421.5;TRUE;TRUE;TRUE;TRUE;TRUE
769;"Anglian Water";"Infrastructure";"Scope 1+2 (location-based) +3 (upstream & downstream)";100;311002.78;281268.784;2570562.053;2527513.62;268833.691;295830.05;10;2025;"Underway";"Company-wide";268833.691;295830.05;TRUE;TRUE;TRUE;TRUE;TRUE
777;"Anglo American Platinum";"Materials";"Scope 1+2 (location-based)";100;5579206;NA;5579000;3942903;NA;3942903;30;2030;"Underway";"Company-wide";3942903;3942903;TRUE;TRUE;TRUE;TRUE;TRUE
777;"Anglo American Platinum";"Materials";"Scope 1+2 (location-based)";100;4325833;NA;5878214;3942903;NA;3942903;10;2020;"Underway";"Company-wide";3942903;3942903;FALSE;TRUE;TRUE;TRUE;FALSE
814;"ATRESMEDIA CORPORACION";"Services";"Scope 1+2 (market-based)";100;10051;NA;10051;2393;NA;2393.2;81;2025;"Underway";"Company-wide";2393;2393.2;TRUE;TRUE;TRUE;TRUE;TRUE
814;"ATRESMEDIA CORPORACION";"Services";"Scope 1+2 (market-based)";100;2393.2;NA;2393;2393;NA;2393.2;100;2035;"New";"Company-wide";2393;2393.2;TRUE;TRUE;TRUE;TRUE;TRUE
820;"Antofagasta";"Materials";"Scope 1+2 (location-based)";100;2926565;NA;2926565;2345210;NA;100;3;2022;"Achieved";"Company-wide";2345210;100;TRUE;TRUE;TRUE;TRUE;TRUE
830;"Aoyama Trading Co., Ltd.";"Retail";"Scope 2 (market-based)";100;85103;NA;NA;61907;NA;61907;30;2023;"Underway";"Company-wide";61907;61907;TRUE;TRUE;TRUE;TRUE;TRUE
846;"AptarGroup";"Manufacturing";"Scope 1+2 (market-based)";100;85257;NA;85257;37695;NA;37695;28;2030;"Achieved";"Company-wide";37695;37695;TRUE;TRUE;TRUE;TRUE;TRUE
865;"Apple Inc.";"Manufacturing";"Scope 1+2 (market-based) +3 (upstream & downstream)";100;25100000;52730;25117930;22594430;47430;22600000;61.7;2030;"New";"Company-wide";47430;22600000;TRUE;TRUE;TRUE;TRUE;TRUE
865;"Apple Inc.";"Manufacturing";"Scope 1+2 (location-based) +3 (upstream & downstream)";100;38400000;406890;32726790;23484630;937630;22600000;75;2030;"Underway";"Company-wide";937630;22600000;TRUE;TRUE;TRUE;TRUE;TRUE
868;"Applied Materials Inc.";"Manufacturing";"Scope 1+2 (market-based)";100;144200;NA;144200;151300;NA;151300;50;2030;"New";"Company-wide";151300;151300;TRUE;TRUE;TRUE;TRUE;TRUE
889;"Aramark Corporation";"Hospitality";"Scope 1+2 (market-based) +3 (upstream & downstream)";100;6310207;441141;635099.04;4698430;387365;4698430;15;2025;"New";"Country/region";387365;4698430;TRUE;TRUE;TRUE;TRUE;TRUE
894;"Arcadis";"Services";"Scope 1+2 (market-based) +3 (upstream & downstream)";21;8348;NA;NA;47338.4;24201.9;2414;30;2020;"Achieved";"Country/region";5082.399;2414;FALSE;TRUE;TRUE;FALSE;FALSE
894;"Arcadis";"Services";"Scope 1+2 (location-based) +3 (upstream & downstream)";100;88931;53577;NA;48513.3;25376.8;37749.3;100;2030;"Achieved";"Company-wide";25376.8;37749.3;TRUE;TRUE;TRUE;TRUE;TRUE
894;"Arcadis";"Services";"Scope 1+2 (location-based) +3 (upstream)";100;60031;25484;69609;48513.3;25376.8;37749.3;74;2050;"Underway";"Company-wide";25376.8;37749.3;TRUE;TRUE;TRUE;TRUE;TRUE
