"Scope_Target_1";"Scope_Target_2";"TwoTargets";"Country";"Actor name";"Action description";"Included in aggregation";"Sufficient data";"Actor type";"Target type";"Action or initiative";"Sector targeted";"Subsector";"Subsector 2";"Smaller actor types included";"Geographic coverage";"Action status";"Base Year";"BY Scope 1 emissions (tCO2e)";"BY Scope 2 emissions (tCO2e)";"MRY Year";"MRY Scope 1 emissions (tCO2e)";"MRY Scope 2 emissions (tCO2e)";"Target Year 1";"Target Year 1 Scope 1 emissions reduction (perc)";"Target Year 1 Scope 2 emissions reduction (perc)";"Target Year 2";"Target Year 2 Scope 1 emissions reduction (perc)";"Target Year 2 Scope 2 emissions reduction (perc)"
"Scope 1";NA;FALSE;"Spain";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;27782.2519669926;0;2019;34169;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Sudan";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;12.1962533145509;0;2019;15;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Sweden";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;8815.45189575737;0;2019;10842;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Togo";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;85.3737732018562;0;2019;105;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Turkey";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;12.1962533145509;0;2019;15;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"Uganda";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;3.25233421721357;0;2019;4.00000000000001;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"United Kingdom of Great Britain and Northern Ireland";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;54176.5703067893;0;2019;66631;0;2050;1;1;"";"";""
"Scope 1";NA;FALSE;"United States of America";"A.P. Moller - Maersk";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2008;60630.8275608496;0;2019;74569.0000000001;0;2050;1;1;"";"";""
"Scope 2";NA;FALSE;"Asia Pacific (or JAPA)";"Aareal Bank AG";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;0;75.8678371161549;2019;0;15.3912;2020;1;1;"";"";""
"Scope 2";NA;FALSE;"Europe";"Aareal Bank AG";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;0;2960.97116154873;2019;0;600.688;2020;1;1;"";"";""
"Scope 2";NA;FALSE;"North America";"Aareal Bank AG";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;0;213.33220293725;2019;0;43.2784;2020;1;1;"";"";""
"Scope 1+2";NA;FALSE;"Americas";"ABB";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2013;222278.198582428;311942.341490105;2019;142957;200624;2020;0.4;0.4;"";"";""
"Scope 1+2";NA;FALSE;"Asia, Australasia, Middle East and Africa";"ABB";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2013;89374.9388467615;290653.190941404;2019;57481;186932;2020;0.4;0.4;"";"";""
"Scope 1+2";NA;FALSE;"Europe";"ABB";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2013;288348.887617334;309833.950594396;2019;185450;199268;2020;0.4;0.4;"";"";""
"Scope 1+2";"Scope 1+2";TRUE;"Algeria";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;35.5325709137454;59.2743337890704;2019;30.1253186775502;50.2541231573104;2025;0.250000000000001;0.250000000000001;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Argentina";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;398.645418127507;208.921507797917;2019;337.980617546329;177.128387818734;2025;0.25;0.25;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Australia";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;187.802148747776;439.943273786694;2019;159.222916717429;372.993875254378;2025;0.250000000000002;0.250000000000002;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Austria";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;544.358986398579;188.893148812451;2019;461.519882140071;160.14789129091;2025;0.249999999999998;0.249999999999998;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Belarus";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;11.3704226923985;8.54783536910945;2019;9.64010197681606;7.24704849313461;2025;0.25;0.25;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Belgium";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;778.823908554772;255.444152757661;2019;660.304555385592;216.571340273171;2025;0.25;0.25;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Bosnia and Herzegovina";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;31.5789468261596;22.0902490159538;2019;26.7733465993439;18.7286136116488;2025;0.249999999999997;0.249999999999997;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Brazil";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;1243.16955076054;70.3444812343106;2019;1053.98731146698;59.6396449762881;2025;0.249999999999999;0.249999999999999;"2035";"0.5";"0.5"
"Scope 1+2";"Scope 1+2";TRUE;"Bulgaria";"AbbVie Inc";"";"Yes";"";"Companies";"GHG emissions target";"Individual action";"";"";"";"No";"National";"Non-binding commitment";2015;175.140542492596;86.1489684097481;2019;148.488120061908;73.0390472838521;2025;0.249999999999999;0.249999999999999;"2035";"0.5";"0.5"
