"company_name";"Country/Region";"sectors";"industries";"activities";"target_type";"Scope";"perc_scope1";"Base year_Target_1";"Target year_Target_1";"BaseYearEmissions_excl_scope3_Target_1";"MRY_excl_scope3_Target_1";"% reduction from base year_Target_1";"Base year_Target_2";"Target year_Target_2";"BaseYearEmissions_excl_scope3_Target_2";"MRY_excl_scope3_Target_2";"% reduction from base year_Target_2";"Base year_Target_3";"Target year_Target_3";"BaseYearEmissions_excl_scope3_Target_3";"MRY_excl_scope3_Target_3";"% reduction from base year_Target_3";"Base year_Target_4";"Target year_Target_4";"BaseYearEmissions_excl_scope3_Target_4";"MRY_excl_scope3_Target_4";"% reduction from base year_Target_4"
"General Mills Inc.";"Taiwan (Province of China)";"Food & beverage processing";"Food, beverage & agriculture";"Baked goods & cereals, Dairy & egg products, Other food processing";"absolute";"Scope 1";1;2010;2025;686.488617362946;606.000000000002;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"General Mills Inc.";"United Kingdom of Great Britain and Northern Ireland";"Food & beverage processing";"Food, beverage & agriculture";"Baked goods & cereals, Dairy & egg products, Other food processing";"absolute";"Scope 1";1;2010;2025;373.830435197646;329.999999999999;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"General Mills Inc.";"United States of America";"Food & beverage processing";"Food, beverage & agriculture";"Baked goods & cereals, Dairy & egg products, Other food processing";"absolute";"Scope 1";1;2010;2025;290069.76132336;256060;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GRIFOLS";"Brazil";"Biotech & pharma";"Biotech, health care & pharma";"Biotechnology";"absolute";"Scope 1";0;2016;2019;0;0;6.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GRIFOLS";"China";"Biotech & pharma";"Biotech, health care & pharma";"Biotechnology";"absolute";"Scope 1";0;2016;2019;0;0;6.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GRIFOLS";"Czech Republic";"Biotech & pharma";"Biotech, health care & pharma";"Biotechnology";"absolute";"Scope 1";1;2016;2019;17.9118659801603;32.2558207311939;6.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GRIFOLS";"France";"Biotech & pharma";"Biotech, health care & pharma";"Biotechnology";"absolute";"Scope 1";0;2016;2019;0;0;6.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GRIFOLS";"Germany";"Biotech & pharma";"Biotech, health care & pharma";"Biotechnology";"absolute";"Scope 1";0;2016;2019;0;0;6.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GRIFOLS";"Ireland";"Biotech & pharma";"Biotech, health care & pharma";"Biotechnology";"absolute";"Scope 1";1;2016;2019;3844.87468022409;6923.87876040283;6.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GRIFOLS";"Italy";"Biotech & pharma";"Biotech, health care & pharma";"Biotechnology";"absolute";"Scope 1";0;2016;2019;0;0;6.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GRIFOLS";"Mexico";"Biotech & pharma";"Biotech, health care & pharma";"Biotechnology";"absolute";"Scope 1";1;2016;2019;31.1172347613959;56.0361464978466;6.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GRIFOLS";"Poland";"Biotech & pharma";"Biotech, health care & pharma";"Biotechnology";"absolute";"Scope 1";0;2016;2019;0;0;6.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GRIFOLS";"Portugal";"Biotech & pharma";"Biotech, health care & pharma";"Biotechnology";"absolute";"Scope 1";1;2016;2019;5.29944172792331;9.54327385771186;6.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GRIFOLS";"Spain";"Biotech & pharma";"Biotech, health care & pharma";"Biotechnology";"absolute";"Scope 1";1;2016;2019;19058.8430534417;34321.3055276708;6.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GRIFOLS";"United Kingdom";"Biotech & pharma";"Biotech, health care & pharma";"Biotechnology";"absolute";"Scope 1";0;2016;2019;0;0;6.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GRIFOLS";"United States of America";"Biotech & pharma";"Biotech, health care & pharma";"Biotechnology";"absolute";"Scope 1";1;2016;2019;34317.2822663342;61798.8157119264;6.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Grupo Cooperativo Cajamar";"Spain";"Financial services";"Services";"Banks";"absolute";"Scope 1";1;2014;2020;493;1010;7.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Holmen";"Sweden";"Logging & rubber tapping, Paper products & packaging, Renewable power generation, Wood & paper materials, Wood & rubber products";"Food, beverage & agriculture, Manufacturing, Materials, Power generation";"Finished wood products, Hydro generation, Logging, Paper packaging, Paper products, Pulp & paper mills";"absolute";"Scope 1";1;2005;2020;250342.465753424;43000;90;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Holmen";"United Kingdom of Great Britain and Northern Ireland";"Logging & rubber tapping, Paper products & packaging, Renewable power generation, Wood & paper materials, Wood & rubber products";"Food, beverage & agriculture, Manufacturing, Materials, Power generation";"Finished wood products, Hydro generation, Logging, Paper packaging, Paper products, Pulp & paper mills";"absolute";"Scope 1";1;2005;2020;168835.616438357;29000;90;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Iberdrola SA";"Brazil";"Energy utility networks, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Gas utilities, Other renewable generation";"absolute";"Scope 1";1;2007;2050;2237937.7105536;1590743;100;2017;2023;1590743;1590743;5;2017;2030;1590743;1590743;26;NA;NA;NA;NA;NA
"Iberdrola SA";"Mexico";"Energy utility networks, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Gas utilities, Other renewable generation";"absolute";"Scope 1";1;2007;2050;21574012.8299454;15334971;100;2017;2023;15334971;15334971;5;2017;2030;15334971;15334971;26;NA;NA;NA;NA;NA
"Iberdrola SA";"Spain";"Energy utility networks, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Gas utilities, Other renewable generation";"absolute";"Scope 1";1;2007;2050;8392973.70870456;5965788.99999999;100;2017;2023;5965789;5965788.99999999;5;2017;2030;5965789;5965788.99999999;26;NA;NA;NA;NA;NA
"Iberdrola SA";"United Kingdom of Great Britain and Northern Ireland";"Energy utility networks, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Gas utilities, Other renewable generation";"absolute";"Scope 1";1;2007;2050;4151717.35180279;2951072;100;2017;2023;2951072;2951072;5;2017;2030;2951072;2951072;26;NA;NA;NA;NA;NA
"Iberdrola SA";"United States of America";"Energy utility networks, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Gas utilities, Other renewable generation";"absolute";"Scope 1";1;2007;2050;1412358.39899369;1003915;100;2017;2023;1003915;1003915;5;2017;2030;1003915;1003915;26;NA;NA;NA;NA;NA
"Impala Platinum Holdings";"South Africa";"Metal smelting, refining & forming, Metallic mineral mining";"Materials, Mineral extraction";"Other non-ferrous metals, Other non-ferrous ore mining, Precious metals, Precious metals & minerals mining";"absolute";"Scope 1";1;2017;2020;354122;354122;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Intesa Sanpaolo S.p.A";"Croatia";"Financial services";"Services";"Asset managers, Banks, Insurance";"absolute";"Scope 1";1;2012;2022;220.765967808509;723.680468021667;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Intesa Sanpaolo S.p.A";"Hungary";"Financial services";"Services";"Asset managers, Banks, Insurance";"absolute";"Scope 1";1;2012;2022;425.142376705367;1393.6352473351;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Intesa Sanpaolo S.p.A";"Ireland";"Financial services";"Services";"Asset managers, Banks, Insurance";"absolute";"Scope 1";1;2012;2022;0.0906082583184519;0.297017821349174;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Intesa Sanpaolo S.p.A";"Italy";"Financial services";"Services";"Asset managers, Banks, Insurance";"absolute";"Scope 1";1;2012;2022;9500.22952697611;31142.1666058547;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Intesa Sanpaolo S.p.A";"Luxembourg";"Financial services";"Services";"Asset managers, Banks, Insurance";"absolute";"Scope 1";1;2012;2022;232.604042116254;762.486191750497;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Intesa Sanpaolo S.p.A";"Romania";"Financial services";"Services";"Asset managers, Banks, Insurance";"absolute";"Scope 1";1;2012;2022;158.903706233785;520.893277343315;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Intesa Sanpaolo S.p.A";"Slovakia";"Financial services";"Services";"Asset managers, Banks, Insurance";"absolute";"Scope 1";1;2012;2022;565.941288625848;1855.18021953814;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Intesa Sanpaolo S.p.A";"Slovenia";"Financial services";"Services";"Asset managers, Banks, Insurance";"absolute";"Scope 1";1;2012;2022;112.191988317426;367.770229351026;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Investec Limited";"South Africa";"Financial services";"Services";"Asset managers, Banks";"absolute";"Scope 1";1;2014;2020;16329.4120462704;23284.3988831272;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
