"account_id";"company_name";"primary_industry";"Scope";"% emissions in Scope";"BY_covered";"BY_Scope_exclS3";"BY_Scope";"MRY_Scope";"MRY_Scope_exclS3";"% reduction from base year";"Target year";"Target status";"% achieved (emissions)";"Target coverage";"MRY_inventory";"MRY_target";"TargetActive";"Quantifiable";"Scope1_2";"Include"
10057;"Kelly Services";"Services";"Scope 1";20;700;NA;690;690;NA;3;2020;"New";1;"Unknown";138;699.79;TRUE;TRUE;TRUE;TRUE
10076;"Kia Motors Corp";"Manufacturing";"Scope 1+2 (location-based)";100;1277586;NA;1277585;1200302;NA;17.4;2025;"Underway";49.6;"Unknown";1200302;1167325.217856;TRUE;TRUE;TRUE;TRUE
10076;"Kia Motors Corp";"Manufacturing";"Scope 1+2 (location-based)";100;1277586;NA;1277585;1200302;NA;39.9;2040;"Underway";21.6;"Unknown";1200302;1167478.528176;TRUE;TRUE;TRUE;TRUE
10095;"Kesko Corporation";"Retail";"Scope 1";97.4;42187;NA;43302;48219;NA;21;2025;"New";0;"Unknown";46965.306;42187;TRUE;TRUE;TRUE;TRUE
10095;"Kesko Corporation";"Retail";"Scope 2 (market-based)";100;70532;NA;144436;82421;NA;17;2025;"New";0;"Unknown";82421;70532;TRUE;TRUE;TRUE;TRUE
10109;"KeyCorp";"Services";"Scope 1+2 (location-based)";100;63539;NA;63539;60944;NA;4.1;2030;"New";13;"Unknown";60944;63200.33713;TRUE;TRUE;TRUE;TRUE
10109;"KeyCorp";"Services";"Scope 1+2 (location-based)";100;63539;NA;63539;60944;NA;4.1;2050;"New";6;"Unknown";60944;63382.69406;TRUE;TRUE;TRUE;TRUE
10124;"KIK Custom Products";"Manufacturing";"Scope 1+2 (location-based)";100;190500;NA;190500;183911;NA;25;2020;"Underway";12;"Unknown";183911;184785;TRUE;TRUE;TRUE;TRUE
10132;"Kirin Holdings Co Ltd";"Food, beverage & agriculture";"Scope 1+2 (market-based) +3 (upstream & downstream)";99;7227000;1734829;NA;5347370;1000058;50;2050;"Underway";25.7;"Unknown";990057.42;6298330.5;TRUE;TRUE;TRUE;TRUE
10132;"Kirin Holdings Co Ltd";"Food, beverage & agriculture";"Scope 1 +2 (market-based)";97;968096;NA;1133510;1000058;NA;30;2030;"New";2.2;"Unknown";970056.26;961706.5664;TRUE;TRUE;TRUE;TRUE
10135;"Kikkoman Corporation";"Food, beverage & agriculture";"Scope 1+2 (location-based)";83;139000;NA;NA;144990;NA;23;2017;"Replaced";22.1;"Unknown";120341.7;131934.63;FALSE;TRUE;TRUE;FALSE
10135;"Kikkoman Corporation";"Food, beverage & agriculture";"Scope 1+2 (location-based)";3;4364;NA;144915;144990;NA;1;2017;"Replaced";96.6;"Unknown";4349.7;4321.84376;FALSE;TRUE;TRUE;FALSE
10143;"Kimco Realty";"Services";"Scope 1+2 (location-based)";72;36551.5;NA;56224.65;44793.27;NA;10;2020;"Underway";100;"Unknown";32251.1544;32896.35;TRUE;TRUE;TRUE;TRUE
10143;"Kimco Realty";"Services";"Scope 2 (location-based)";13.7;8026.57;NA;51140.59;42096.4;NA;5;2017;"Expired";100;"Unknown";5767.2068;7625.2415;FALSE;TRUE;TRUE;FALSE
10148;"Kimberly-Clark Corporation";"Manufacturing";"Scope 1+2 (location-based)";100;5500713;NA;5500713;4533057;NA;20;2022;"Underway";88;"Unknown";4533057;4532587.512;TRUE;TRUE;TRUE;TRUE
10156;"Kingfisher";"Retail";"Scope 1+2 (location-based)";100;405365;NA;455727;341062;NA;25;2020;"Underway";64;"Unknown";341062;340506.6;TRUE;TRUE;TRUE;TRUE
10162;"Kingspan Group PLC";"Materials";"Scope 1 +2 (market-based)";100;381282;NA;373639;373639;NA;10;2025;"New";0;"Unknown";373639;381282;TRUE;TRUE;TRUE;TRUE
10177;"Kintetsu Group Holdings Co.,Ltd.";"Services";"Scope 1 +2 (market-based)";3;22203;NA;619896;622029;NA;3;2020;"New";63;"Unknown";18660.87;21783.3633;TRUE;TRUE;TRUE;TRUE
10177;"Kintetsu Group Holdings Co.,Ltd.";"Services";"Scope 1 +2 (market-based)";90;619896;NA;625660;622029;NA;5;2020;"New";9;"Unknown";559826.1;617106.468;TRUE;TRUE;TRUE;TRUE
10202;"Klabin S/A";"Materials";"Scope 1";100;704000;NA;642219;709560.46;NA;30.67;2022;"New";99.21;"Unknown";709560.46;489788.94272;TRUE;TRUE;TRUE;TRUE
10205;"Klepierre";"Services";"Scope 1 +2 (market-based)";100;108797;NA;NA;85717;NA;100;2030;"Underway";19;"Unknown";85717;88125.57;TRUE;TRUE;TRUE;TRUE
10216;"KLP";"Services";"Scope 1+2 (location-based) +3 (upstream)";100;1086;NA;NA;771.1;147.7;50;2030;"Underway";60;"Unknown";147.7;760.2;TRUE;TRUE;TRUE;TRUE
10216;"KLP";"Services";"Scope 1+2 (location-based) +3 (upstream)";100;1086;NA;NA;771.1;147.7;78;2050;"Underway";38.5;"Unknown";147.7;759.8742;TRUE;TRUE;TRUE;TRUE
10227;"Korea Gas Corp";"Infrastructure";"Scope 1+2 (location-based)";100;890950;NA;890950;912121;NA;22.3;2030;"Underway";0;"Unknown";912121;890950;TRUE;TRUE;TRUE;TRUE
10233;"Kohl's Corporation";"Retail";"Scope 1+2 (location-based)";100;835282;NA;NA;567723;NA;20;2020;"Underway";100;"Unknown";567723;668225.6;TRUE;TRUE;TRUE;TRUE
10234;"Kokuyo Co., Ltd.";"Manufacturing";"Scope 1 +2 (market-based)";74.3;31892;NA;42954.09;43125.49;NA;1.4;2017;"Underway";100;"Unknown";32042.23907;31445.512;FALSE;TRUE;TRUE;FALSE
10234;"Kokuyo Co., Ltd.";"Manufacturing";"Scope 1 +2 (market-based)";73.3;31220;NA;NA;43125.49;NA;30;2020;"Underway";81.2;"Unknown";31610.98417;23614.808;TRUE;TRUE;TRUE;TRUE
10250;"Kone Oyj";"Manufacturing";"Scope 1 +2 (market-based)";31;43900;NA;139800;139800;NA;15;2022;"New";0;"Unknown";43338;43900;TRUE;TRUE;TRUE;TRUE
10250;"Kone Oyj";"Manufacturing";"Scope 2 (market-based)";59;20300;NA;34100;34100;NA;3;2017;"Expired";0;"Unknown";20119;20300;FALSE;TRUE;TRUE;FALSE
10261;"Konica Minolta, Inc.";"Manufacturing";"Scope 1+2 (location-based) +3 (upstream)";78;2066835;NA;NA;993619.18;373440.72;80;2050;"Underway";62;"Unknown";291283.7616;1041684.84;TRUE;TRUE;TRUE;TRUE
10261;"Konica Minolta, Inc.";"Manufacturing";"Scope 1+2 (location-based) +3 (upstream)";78;2066835;NA;NA;993619.18;373440.72;60;2030;"New";83;"Unknown";291283.7616;1037551.17;TRUE;TRUE;TRUE;TRUE
10261;"Konica Minolta, Inc.";"Manufacturing";"Scope 1+2 (location-based) +3 (upstream)";78;2066835;NA;NA;993619.18;373440.72;50;2019;"Underway";99;"Unknown";291283.7616;1043751.675;TRUE;TRUE;TRUE;TRUE
10268;"Korea Electric Power Corp";"Infrastructure";"Scope 1+2 (location-based)";100;2951380;NA;2951379;1475031.8;NA;46.13;2020;"Underway";92.85;"Unknown";1475031.8;1687253.624971;TRUE;TRUE;TRUE;TRUE
10331;"Kroger";"Retail";"Scope 1";67;1855976;NA;2505002;2791304;NA;10;2017;"Retired";100;"Unknown";1870173.68;1670378.4;FALSE;TRUE;TRUE;FALSE
10331;"Kroger";"Retail";"Scope 1";12;245000;NA;1785872;2791304;NA;20;2020;"Underway";40.5;"Unknown";334956.48;225155;TRUE;TRUE;TRUE;TRUE
