"Country/Region";"account_id";"company_name";"primary_sector";"primary_industry";"primary_activity";"Target year";"target_type";"Scope";"Scope_short";"incorporation_country";"Base year";"% reduction from base year";"BY_EM_target";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Target coverage";"Year target was set";"Is this a science-based target?";"% of target achieved [auto-calculated]";"Scope1";"Scope2";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"Global";51294;"Sanying Packaging (Jiangsu) Co., Ltd";"Metal products manufacturing";"Manufacturing";"Metal containers & packaging";2025;"absolute";"Scope 2";"S2L";"China";2016;70.15;2531.13;NA;NA;2020;2423.327968;NA;0;1;20.74;"Scope 2 (location-based)";1986.34;11684.32;NA;1986.34;11684.32;NA;"51294-abs-S2L-2016-2025-1";"Country/region";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";98.8478352796875;"";"S2L";2531.13;2531.13;0;11684.32;0;1;755.542305;1741.97991333333;2423.327968
"Global";51297;"SIP ADVANCE PRINTING CO.";"Paper products & packaging";"Manufacturing";"Paper products";2029;"absolute";"Scope 1";"S1";"China";2018;5;25.3;NA;NA;2019;21.744;NA;0;1;90;"Scope 1";NA;NA;NA;NA;NA;NA;"51297-abs-S1-2018-2029-1";"Company-wide";2019;"Yes, this target has been approved as science-based by the Science-Based Targets initiative";90.1185770750989;"S1";"";25.3;25.3;NA;0;1;1;24.035;25.185;21.744
"Global";51484;"CUORI ELECTRICAL APPLIA";"Electrical & electronic equipment";"Manufacturing";"Household appliances";2025;"absolute";"Scope 1";"S1";"China";2018;20;2000000;1600000;NA;2020;NA;NA;0;1;80;"Scope 1";NA;NA;NA;NA;NA;NA;"51484-abs-S1-2018-2025-1";"Company-wide";2020;"No, but we anticipate setting one in the next 2 years";12.5;"S1";"";2000000;2000000;NA;0;1;1;1600000;1885714.28571429;1885714.28571429
"Global";51495;"EVERSTAR MERCHANDISE CO";"Electrical & electronic equipment";"Manufacturing";"Electrical equipment";2030;"absolute";"Scope 1+2+3";"S12L3";"China";2018;48;255300;NA;40848;2019;NA;NA;19607.04;1;80;"Scope 1+2 (location-based) +3 (upstream & downstream)";NA;44800;NA;NA;44800;NA;"51495-abs-S12L3-2018-2030-1";"Company-wide";2018;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";12.5016320668495;"S1";"S2L";255300;40848;NA;44800;1;1;21240.96;39214.08;39214.08
"Global";51774;"NITTAN VALVE CO.LTD.";"Transportation equipment";"Manufacturing";"Automobiles";2030;"absolute";"Scope 1+2";"S12L";"Japan";2018;26;36933;NA;NA;2020;32826;NA;0;1;100;"Scope 1+2 (location-based)";415;32411;NA;415;32411;NA;"51774-abs-S12L-2018-2030-1";"Company-wide";2013;"No, but we are reporting another target that is science-based";42.7697556281749;"S1";"S2L";36933;36933;415;32411;0.0126424175958082;1;27330.42;35332.57;32826
"Global";51778;"OILES CORPORATION";"Plastic product manufacturing";"Manufacturing";"Plastic products";2030;"absolute";"Scope 1+2";"S12M";"Japan";2013;26;30889;NA;NA;2020;NA;NA;0;1;100;"Scope 1+2 (market-based)";6315;NA;NA;6315;NA;NA;"51778-abs-S12M-2013-2030-1";"Company-wide";2018;"No, but we anticipate setting one in the next 2 years";-41.5632151848928;"S1";"S2M";30889;30889;6315;NA;1;1;22857.86;27582.06;27582.06
"Global";51834;"TECHNO STATE CO. LTD.";"Powered machinery";"Manufacturing";"Engines & motors";2021;"absolute";"Scope 1";"S1";"Japan";2013;20;1216;NA;NA;2020;885.66;NA;0;1;87;"Scope 1";NA;NA;NA;NA;NA;NA;"51834-abs-S1-2013-2021-1";"Company-wide";2013;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";113.898026315789;"S1";"";1216;1216;NA;0;1;1;972.8;1003.2;885.66
"Global";52010;"WICRESOFT";"Specialized professional services";"Services";"Engineering services";2023;"absolute";"Scope 1+2";"S12L";"China";2018;25;6014.59;NA;NA;2019;3670.295;NA;0;1;100;"Scope 1+2 (location-based)";635.173;3035.122;NA;635.173;3035.122;NA;"52010-abs-S12L-2018-2023-1";"Company-wide";2019;"No, but we anticipate setting one in the next 2 years";155.906886421186;"S1";"S2L";6014.59;6014.59;635.173;3035.122;0.173057751488641;1;4510.9425;5713.8605;3670.295
"Global";52169;"ARTESYN EMBEDDED TECHNOLOGIES";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2030;"absolute";"Scope 2";"S2L";"United States of America";2014;2.5;72273;NA;NA;2019;33706.53;NA;0;1;100;"Scope 2 (location-based)";1526.02;33706.53;33706.53;1526.02;33706.53;33706.53;"52169-abs-S2L-2014-2030-1";"Site/facility";2020;"No, but we anticipate setting one in the next 2 years";2134.48839815699;"";"S2L";72273;72273;0;33706.53;0;1;70466.175;71708.3671875;33706.53
"Global";52175;"CARENET";"Media, telecommunications & data center services";"Services";"Telecommunications services";2020;"absolute";"Scope 2";"S2L";"China";2018;30;3000;NA;NA;2019;0;NA;0;1;0;"Scope 2 (location-based)";0;1.42;NA;0;1.42;NA;"52175-abs-S2L-2018-2020-1";"Site/facility";2019;"No, but we anticipate setting one in the next 2 years";52.7777777777778;"";"S2L";3000;3000;0;1.42;0;1;2100;2550;2550
"Global";52275;"IWIS MOTORSYSTEME";"Powered machinery";"Manufacturing";"Engines & motors";2020;"absolute";"Scope 1";"S1";"Germany";2017;6.4;4639;4929;NA;2019;NA;NA;0;1;100;"Scope 1";NA;NA;NA;NA;NA;NA;"52275-abs-S1-2017-2020-1";"Company-wide";2017;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";1544.31181289071;"S1";"";4639;4639;NA;0;1;1;4342.104;4441.06933333333;4441.06933333333
"Global";52275;"IWIS MOTORSYSTEME";"Powered machinery";"Manufacturing";"Engines & motors";2020;"absolute";"Scope 2";"S2M";"Germany";2017;6.4;7340;7340;NA;2019;NA;NA;0;1;100;"Scope 2 (market-based)";NA;NA;NA;NA;NA;NA;"52275-abs-S2M-2017-2020-1";"Company-wide";2017;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";497.700953678474;"";"S2M";7340;7340;0;NA;0;1;6870.24;7026.82666666667;7026.82666666667
"Global";52715;"KORDSA TEKNİK TEKSTİL A.Ş.";"Wood & rubber products";"Manufacturing";"Rubber products";2025;"absolute";"Scope 1+2";"S12L";"Turkey";2018;17.5;436891.3;435281.77;NA;2019;423682.84;NA;0;1;100;"Scope 1+2 (location-based)";128875.99;294806.85;NA;128875.99;294806.85;NA;"52715-abs-S12L-2018-2025-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";17.2707751987083;"S1";"S2L";436891.3;436891.3;128875.99;294806.85;0.304180339236774;1;360435.3225;425969.0175;423682.84
"Global";52715;"KORDSA TEKNİK TEKSTİL A.Ş.";"Wood & rubber products";"Manufacturing";"Rubber products";2034;"absolute";"Scope 1+2";"S12L";"Turkey";2018;33.6;436891.3;435281.77;NA;2019;423682.84;NA;0;1;100;"Scope 1+2 (location-based)";128875.99;294806.85;NA;128875.99;294806.85;NA;"52715-abs-S12L-2018-2034-1";"Company-wide";2019;"No, but we are reporting another target that is science-based";8.99519541599389;"S1";"S2L";436891.3;436891.3;128875.99;294806.85;0.304180339236774;1;290095.8232;427716.5827;423682.84
"Global";52854;"OFS Brands";"Leisure & home manufacturing";"Manufacturing";"Furniture";2030;"absolute";"Scope 1+2";"S12L";"United States of America";2016;15;51616.94;50584.6012;NA;2019;63109.8146;NA;0;1;98;"Scope 1+2 (location-based)";48267.28;16130.49;NA;48267.28;16130.49;NA;"52854-abs-S12L-2016-2030-1";"Company-wide";2017;"No, and we do not anticipate setting one in the next 2 years";-165.072810076175;"S1";"S2L";51616.94;51616.94;48267.28;16130.49;0.74951787926818;1;43874.399;49957.8240714286;63109.8146
"Global";52872;"HK Electric Investments";"Thermal power generation";"Power generation";"CCGT generation";2023;"absolute";"Scope 1";"S1";"China, Hong Kong Special Administrative Region";2005;40;9940000;9940000;NA;2019;8510000;NA;0;1;100;"Scope 1";8510000;NA;NA;8510000;NA;NA;"52872-abs-S1-2005-2023-1";"Company-wide";2019;"No, but we are reporting another target that is science-based";35.9657947686117;"S1";"";9940000;9940000;8510000;0;1;1;5964000;6847555.55555556;8510000
"Global";52872;"HK Electric Investments";"Thermal power generation";"Power generation";"CCGT generation";2033;"absolute";"Scope 1";"S1";"China, Hong Kong Special Administrative Region";2005;60;9940000;9940000;NA;2019;8510000;NA;0;1;100;"Scope 1";8510000;NA;NA;8510000;NA;NA;"52872-abs-S1-2005-2033-1";"Company-wide";2019;"No, but we are reporting another target that is science-based";23.9771965124078;"S1";"";9940000;9940000;8510000;0;1;1;3976000;6958000;8510000
"Global";52914;"Arkhangelsk Pulp and Paper Mill";"Wood & paper materials";"Materials";"Pulp & paper mills";2020;"absolute";"Scope 1+2";"S12L";"Russian Federation";1990;29.1;3103421;3103421;NA;2019;1844179;NA;0;1;100;"Scope 1+2 (location-based)";1825627;18552;NA;1825627;18552;NA;"52914-abs-S12L-1990-2020-1";"Company-wide";2013;"No, but we are reporting another target that is science-based";139.436193034072;"S1";"S2L";3103421;3103421;1825627;18552;0.989940238989816;1;2200325.489;2230428.6727;1844179
