"company_name";"Country/Region";"Scope(s) (or Scope 3 category)";"count_TY"
"Asahi Group Holdings, Ltd.";"Global";"Scope 1+2 (market-based)";2
"Asahi Kasei Corporation";"Global";"Scope 1+2 (market-based)";1
"ASAHI PRINTING";"Global";"Scope 1+2 (market-based)";1
"ASE Technology Holding Co., Ltd.";"Global";"Scope 1+2 (market-based)";2
"Asia Vital Components Co., LTD";"Global";"Scope 1+2 (location-based)";1
"Asics Corporation";"Global";"Scope 1+2 (market-based)";2
"ASK INDUSTRIES SPA";"Global";"Scope 2 (location-based)";1
"Askey /Siligence";"Global";"Scope 1+2 (location-based)";1
"Askul";"Global";"Other, please specify: Scope3のうち、カテゴリー１＋カテゴリー４";1
"Askul";"Global";"Scope 1";1
"Askul";"Global";"Scope 2 (market-based)";1
"ASML Holding";"Global";"Scope 1+2 (market-based)";1
"ASOCIADOS UNDURRAGA IMPRESORES LTDA";"Global";"Scope 2 (location-based)";1
"ASR Nederland";"Global";"Scope 1+2 (location-based) +3 (upstream)";1
"ASR Nederland";"Global";"Scope 3: Downstream leased assets";1
"Assicurazioni Generali Spa";"Global";"Scope 1+2 (location-based) +3 (upstream)";1
"Assicurazioni Generali Spa";"Global";"Scope 1+2 (market-based) +3 (upstream)";1
"Associated British Foods";"Global";"Scope 1+2 (location-based) +3 (upstream & downstream)";1
"Assurant, Inc.";"Global";"Scope 2 (location-based)";1
"Astellas Pharma Inc.";"Global";"Scope 1+2 (market-based)";1
"ASTM SpA";"Global";"Scope 1+2 (market-based)";1
"ASTM SpA";"Global";"Scope 2 (location-based)";1
"AstraZeneca";"Global";"Scope 1";1
"AstraZeneca";"Global";"Scope 2 (market-based)";1
"AstraZeneca";"Global";"Scope 3 (upstream & downstream)";1
"AstraZeneca";"Global";"Scope 3: Business travel";1
"AstraZeneca";"Global";"Scope 3: Purchased goods & services";1
"AstraZeneca";"Global";"Scope 3: Upstream transportation & distribution";1
"AstraZeneca";"Global";"Scope 3: Waste generated in operations";1
"ASUSTeK Computer Inc";"Global";"Scope 1+2 (location-based)";1
"ASUSTeK Computer Inc";"Global";"Scope 3: Purchased goods & services";1
"AT&T Inc.";"Global";"Scope 1";1
"AT&T Inc.";"Global";"Scope 1+2 (market-based)";1
"ATE";"Global";"Scope 2 (location-based)";1
"Atea ASA";"Global";"Scope 1+2 (location-based)";2
"Atea ASA";"Global";"Scope 3 (upstream & downstream)";2
"Atlantia";"Global";"Scope 1";1
"Atlantia";"Global";"Scope 1+2 (location-based)";1
"Atlantia";"Global";"Scope 2 (location-based)";1
"Atlasbx Co Ltd";"Global";"Scope 1+2 (market-based)";1
"Atos SE";"Global";"Other, please specify: S 1+2 (L+M), + S3 Upstream Cats 3&6";2
"ATRESMEDIA CORPORACION";"Global";"Scope 1+2 (market-based)";1
"AU Optronics";"Global";"Scope 1+2 (location-based)";1
"AU Optronics";"Global";"Scope 1+2 (location-based) +3 (upstream & downstream)";1
"Aurubis AG";"Global";"Scope 1+2 (market-based)";1
"Australia and New Zealand Banking Group";"Global";"Scope 1+2 (location-based)";2
"Australia Post";"Global";"Scope 1+2 (location-based)";1
"Autajon";"Global";"Scope 1+2 (market-based)";1
"Autodesk, Inc.";"Global";"Scope 1+2 (market-based) +3 (upstream & downstream)";2
"Automatic Data Processing, Inc.";"Global";"Scope 1+2 (location-based)";1
"Avangrid Inc";"Global";"Scope 1";1
"Avantor";"Global";"Scope 1+2 (location-based)";1
"Avaya";"Global";"Other, please specify: Scope 3 (All Categories)";1
"Avaya";"Global";"Scope 1+2 (location-based)";1
"Avery Dennison Corporation";"Global";"Scope 1+2 (market-based)";1
"Avis Budget Group";"Global";"Scope 1+2 (market-based)";1
"Aviva plc";"Global";"Scope 1+2 (location-based) +3 (upstream)";2
"Avon Products, Inc.";"Global";"Scope 1+2 (location-based)";1
"AXA Group";"Global";"Scope 1";1
"AXA Group";"Global";"Scope 2 (market-based)";1
"AXA Group";"Global";"Scope 3: Business travel";1
"Axiata Group Berhad";"Global";"Other, please specify: Life Cycle Assessment - Cradle to Gate";1
"Axilone Group";"Global";"Scope 2 (market-based)";1
"Ayala Land Inc";"Global";"Scope 1+2 (market-based)";1
"Azbil Corporation";"Global";"Scope 1+2 (location-based)";1
"Azbil Corporation";"Global";"Scope 1+2 (market-based)";2
"Azbil Corporation";"Global";"Scope 3 (upstream & downstream)";1
"Azure Wave Technologies, Inc.";"Global";"Scope 3: Purchased goods & services";1
"BAE Systems";"Global";"Scope 1+2 (location-based)";1
"Bain & Company";"Global";"Scope 1+2 (location-based)";1
"Bain & Company";"Global";"Scope 1+2 (market-based)";1
"Baker Hughes Company";"Global";"Scope 1+2 (market-based)";3
"Ball Corporation";"Global";"Scope 1+2 (market-based)";1
"Ball Corporation";"Global";"Scope 3 (upstream & downstream)";1
"Banco BPM SpA";"Global";"Scope 1";2
"Banco BPM SpA";"Global";"Scope 2 (market-based)";1
"Banco BPM SpA";"Global";"Scope 3: Purchased goods & services";1
"Banco Bradesco S/A";"Global";"Other, please specify: Scope 3: upstream transportation and distribution + waste generated in operations + business travel + employee commuting";1
"Banco Bradesco S/A";"Global";"Scope 1";1
"Banco Bradesco S/A";"Global";"Scope 2 (location-based)";1
"Banco Comercial Português SA";"Global";"Other, please specify: Scope 1 + Scope 2 + Scope 3";2
"Banco Davivienda SA";"Global";"Scope 1";1
"Banco Davivienda SA";"Global";"Scope 2 (location-based)";1
"Banco Davivienda SA";"Global";"Scope 3: Business travel";1
"Banco de Galicia y Buenos Aires S.A.U";"Global";"Scope 2 (location-based)";1
"Banco do Brasil S/A";"Global";"Scope 2 (location-based)";1
"Banco Santander";"Global";"Scope 1+2 (location-based) +3 (downstream)";2
"Banco Santander Brasil";"Global";"Other, please specify: Scope 2: location-based and market-based";1
"Banco Santander Brasil";"Global";"Scope 1+2 (market-based)";1
"BanColombia SA";"Global";"Scope 1+2 (market-based)";2
"BanColombia SA";"Global";"Scope 3: Business travel";1
"BanColombia SA";"Global";"Scope 3: Purchased goods & services";1
"BanColombia SA";"Global";"Scope 3: Upstream transportation & distribution";1
"BANDAI NAMCO Holdings Inc.";"Global";"Scope 1+2 (market-based)";2
"BANDO CHEMICAL INDUSTRIES.LTD.";"Global";"Scope 1+2 (market-based)";1
"Bank Leumi Le Israel";"Global";"Scope 2 (location-based)";1
"Bank Leumi Le Israel";"Global";"Scope 2 (market-based)";1
"Bank of America";"Global";"Scope 1+2 (location-based)";1
"Bank of America";"Global";"Scope 1+2 (market-based)";2
"Bank of Montreal";"Global";"Scope 1+2 (location-based) +3 (upstream)";1
"Bank of Nova Scotia (Scotiabank)";"Global";"Scope 1+2 (location-based)";2
"Bankia";"Global";"Scope 1+2 (market-based)";3
"Bankinter";"Global";"Scope 1+2 (market-based)";1
"Bankinter";"Global";"Scope 2 (market-based)";1
"Bankinter";"Global";"Scope 3: Purchased goods & services";1
"Banque Cantonale Vaudoise";"Global";"Scope 1+2 (market-based) +3 (upstream)";1
