"company_name";"Scope_short";"Target year";"Base year";"count_branches";"sum_percent_alloc";"remaing";"perc_from_closest_number"
"Applied Optoelectronics, Inc.";"S3";2031;2018;3;0;0;NA
"AptarGroup";"S12M";2030;2019;18;0.999812332125221;0.999812332125221;0.000187703100620551
"AptarGroup";"S3";2030;2019;18;0;0;NA
"Aquitex S.A.";"S12L";2030;2019;1;0;0;NA
"Arcadis";"S12L3";2030;2008;11;0.999980620906166;0.999980620906166;0.000019379469390346
"Arcadis";"S12M";2020;2010;11;0;0;NA
"Arce Avícola";"S12M";2020;2020;2;0;0;NA
"ARÇELİK A.Ş.";"S12L";2020;2010;3;0.299469392930734;0.299469392930734;1
"ARÇELİK A.Ş.";"S12L";2025;2010;3;0.299469392930734;0.299469392930734;1
"ARÇELİK A.Ş.";"S12L";2040;2010;3;0.299469392930734;0.299469392930734;1
"Archer Daniels Midland";"S12L";2035;2019;38;0.994232453677709;0.994232453677709;0.00580100388088955
"ARKEMA";"S12M";2030;2015;6;0;0;NA
"Arkhangelsk Pulp and Paper Mill";"S12L";2020;1990;1;1;0;0
"Arkhangelsk Pulp and Paper Mill";"S12L";2030;2012;1;1;0;0
"Arkhangelsk Pulp and Paper Mill";"S3";2030;2015;1;0;0;NA
"ARTESYN EMBEDDED TECHNOLOGIES";"S2L";2030;2014;2;1;0;0
"ARVIND Ltd";"S12L";2023;2019;1;1;0;0
"Asahi Group Holdings, Ltd.";"S12M";2030;2015;15;1;1;0.000000000000000444089209850063
"Asahi Group Holdings, Ltd.";"S12M";2050;2015;15;1;1;0.000000000000000444089209850063
"ASE Technology Holding Co., Ltd.";"S12M";2025;2016;16;0;0;NA
"ASE Technology Holding Co., Ltd.";"S12M";2035;2016;16;0;0;NA
"Asics Corporation";"S12M";2020;2015;38;0.996924378147706;0.996924378147706;0.00308511048551985
"Asics Corporation";"S12M";2030;2015;38;0.996924378147706;0.996924378147706;0.00308511048551985
"Askul";"S1";2030;2015;1;1;0;0
"Askul";"S2M";2030;2015;1;1;0;0
"Askul";"S3";2030;2015;1;0;0;NA
"ASML Holding";"S12M";2025;2019;3;0;0;NA
"ASR Nederland";"S3";2025;2017;1;0;0;NA
"Assicurazioni Generali Spa";"S12L3";2020;2013;7;0.999987141075263;0.999987141075263;0.0000128590900907444
"Assicurazioni Generali Spa";"S12M3";2020;2013;7;0;0;NA
"Associated British Foods";"S12L3";2030;2018;44;0.999996744311499;0.999996744311499;0.00000325569910075707
"Assurant, Inc.";"S2L";2020;2019;2;1;1;0.000000000000000222044604925031
"Astellas Pharma Inc.";"S12M";2030;2015;57;0.995697689319787;0.995697689319787;0.00432090053674039
"ASTM SpA";"S12M";2030;2019;6;1;0.000000000000000444089209850063;0.000000000000000444089209850063
"ASTM SpA";"S2L";2021;2017;6;0.999999999999999;0.999999999999999;0.000000000000000666133814775094
"AstraZeneca";"S1";2025;2015;7;0.978814191507774;0.978814191507774;0.0216443617961766
"AstraZeneca";"S2M";2025;2015;7;1;0.000000000000000444089209850063;0.000000000000000444089209850063
"AstraZeneca";"S3";2025;2015;21;0;0;NA
"AstraZeneca";"S3";2025;2017;3;0;0;NA
"AstraZeneca";"S3";2030;2015;7;0;0;NA
"ASUSTeK Computer Inc";"S12L";2025;2008;4;0;0;NA
"AT&T Inc.";"S1";2020;2008;4;2;0.000000000000000888178419700125;0.000000000000000444089209850063
"AT&T Inc.";"S12M";2030;2015;2;1;0;0
"Atea ASA";"S12L";2030;2015;5;1.01013904982619;0.0101390498261875;0.0100372813306565
"Atea ASA";"S12L";2040;2015;5;1.01013904982619;0.0101390498261875;0.0100372813306565
"Atea ASA";"S3";2030;2015;5;0;0;NA
"Atea ASA";"S3";2040;2015;5;0;0;NA
"Atlantia";"S1";2020;2015;6;1;0.000000000000000444089209850063;0.000000000000000444089209850063
"Atlantia";"S12L";2020;2015;6;1;1;0.000000000000000222044604925031
"Atlantia";"S2L";2020;2015;6;1;0.000000000000000222044604925031;0.000000000000000222044604925031
"Atlasbx Co Ltd";"S12M";2020;2019;1;0;0;NA
"Atos SE";"S12X3";2021;2012;39;1.01687240836948;0.016872408369478;0.0165924537145544
"Atos SE";"S12X3";2050;2012;39;1.01687240836948;0.016872408369478;0.0165924537145544
"ATRESMEDIA CORPORACION";"S12M";2025;2019;1;1;0;0
"AU Optronics";"S12L";2024;2018;4;0.999999999999999;0.999999999999999;0.000000000000000888178419700125
"AU Optronics";"S12L3";2020;2015;4;0.999999999999999;0.999999999999999;0.000000000000000888178419700125
"Aurubis AG";"S12M";2022;2013;2;1;0;0
"Australia and New Zealand Banking Group";"S12L";2025;2015;33;0.933399194395128;0.933399194395128;0.0713529709526173
"Australia and New Zealand Banking Group";"S12L";2030;2015;33;0.933399194395128;0.933399194395128;0.0713529709526173
"Australia Post";"S12L";2020;2000;1;1;0;0
"Autajon";"S12M";2022;2018;9;0;0;NA
"Autodesk, Inc.";"S12M3";2050;2009;25;0;0;NA
"Automatic Data Processing, Inc.";"S12L";2020;2014;19;0.962727786991244;0.962727786991244;0.0387152147391951
"Avangrid Inc";"S1";2035;2015;1;1;0;0
"Avaya";"S12L";2020;2014;19;0.755075299819035;0.755075299819035;0.324371225280001
"Avaya";"S3";2020;2014;19;0;0;NA
"Avery Dennison Corporation";"S12M";2025;2015;4;0.999999999999999;0.999999999999999;0.000000000000000888178419700125
"Avis Budget Group";"S12M";2030;2018;4;0.998264961615188;0.998264961615188;0.00173805397517413
"Aviva plc";"S12L3";2030;2010;18;0.904912152512538;0.904912152512538;0.105079644718491
"Avon Products, Inc.";"S12L";2020;2005;6;0.452505320177985;0.452505320177985;1
"AXA Group";"S1";2025;2018;41;0.827303975642178;0.827303975642178;0.208745551142518
"AXA Group";"S2M";2025;2018;41;0;0;NA
"AXA Group";"S3";2025;2018;41;0;0;NA
