"company_name";"Scope_short";"Target year";"Base year";"count_branches";"sum_percent_alloc";"remaing";"perc_from_closest_number"
"AstraZeneca";"S3";2030;2015;1;1;0;0
"ASUSTeK Computer Inc";"S12L";2025;2008;2;2;0;0
"ASUSTeK Computer Inc";"S3";2019;2019;2;2;0;0
"AT&T Inc.";"S1";2020;2008;2;2;0;0
"AT&T Inc.";"S12M";2030;2015;1;1;0;0
"ATE";"S2L";2019;2018;1;1;0;0
"Atea ASA";"S12L";2030;2015;1;1;0;0
"Atea ASA";"S12L";2040;2015;1;1;0;0
"Atea ASA";"S3";2030;2015;1;1;0;0
"Atea ASA";"S3";2040;2015;1;1;0;0
"Atlantia";"S1";2020;2015;1;1;0;0
"Atlantia";"S12L";2020;2015;1;1;0;0
"Atlantia";"S2L";2020;2015;1;1;0;0
"Atlasbx Co Ltd";"S12M";2020;2019;1;1;0;0
"Atos SE";"S12X3";2021;2012;3;3;0;0
"Atos SE";"S12X3";2050;2012;3;3;0;0
"ATRESMEDIA CORPORACION";"S12M";2025;2019;1;1;0;0
"AU Optronics";"S12L";2024;2018;1;1;0;0
"AU Optronics";"S12L3";2020;2015;1;1;0;0
"Aurubis AG";"S12M";2022;2013;1;1;0;0
"Australia and New Zealand Banking Group";"S12L";2025;2015;1;1;0;0
"Australia and New Zealand Banking Group";"S12L";2030;2015;1;1;0;0
"Australia Post";"S12L";2020;2000;1;1;0;0
"Autajon";"S12M";2022;2018;1;1;0;0
"Autodesk, Inc.";"S12M3";2020;2009;1;1;0;0
